,BAC,F1-Score,G-Mean
_unbalanced_13_50,0.8725,0.8563356000383106,0.8725
_unbalanced_25_100,0.81,0.8320750154490986,0.81
_unbalanced_50_200,0.8825000000000001,0.8632612779719864,0.8825000000000001
_unbalanced_100_400,0.9099999999999999,0.8922517000287328,0.9099999999999999
_balanced_50_50,0.845,0.8447516025641026,0.845
_balanced_100_100,0.8574999999999999,0.8561323582304281,0.8574999999999999
_balanced_200_200,0.855,0.8538159088617805,0.855
_balanced_400_400,0.875,0.8748466871918099,0.875
